SlopeFEM_2D 计算结果导出
导出时间:,2025-06-10 22:37:13

目标点位移结果
点名称,水平位移 (m),竖直位移 (m)
A,-3.181601e-03,-1.871507e-03
B,1.556304e-02,-1.455115e-03

节点位移结果
节点ID,X坐标 (m),Y坐标 (m),水平位移 (m),竖直位移 (m)
0,-0.310000,4.310000,6.785608e-03,-1.497012e-01
1,12.880000,4.310000,-1.078991e-03,-8.801942e-02
2,25.990000,-3.990000,1.556304e-02,-1.455115e-03
3,28.750000,-3.990000,1.393610e-02,9.087791e-04
4,36.600000,-8.780000,8.238596e-03,3.299293e-03
5,-27.010000,-4.390000,-3.181601e-03,-1.871507e-03
6,-13.760000,3.830000,9.370366e-03,-8.236700e-02
7,-27.010000,-4.290000,-2.965772e-03,-1.878024e-03
8,45.760000,-9.430000,3.283503e-16,3.933827e-03
9,45.760000,-10.980000,1.008044e-15,3.386123e-03
10,-39.360000,-4.990000,-2.263025e-16,3.808899e-03
11,-39.360000,-3.070000,-3.534543e-17,4.019441e-03
12,-39.360000,-22.500000,-9.739004e-16,-8.276706e-17
13,45.760000,-22.500000,1.397576e-15,-6.791211e-17
14,4.795000,-6.585000,1.037320e-02,-4.725115e-02
15,-7.438941,-7.236325,-3.872850e-03,-4.142841e-02
16,20.697500,-7.682500,1.717637e-02,-9.063332e-03
17,3.200000,-22.500000,8.627016e-03,-7.827369e-15
18,19.160530,-9.108162,1.754195e-02,-1.111662e-02
19,-23.399470,-6.113162,-6.146037e-03,-6.686430e-03
20,12.746250,-7.133750,1.735218e-02,-2.880483e-02
21,29.799470,-9.856838,1.271477e-02,9.957695e-04
22,5.860794,-8.172243,1.114924e-02,-3.952812e-02
23,37.779735,-10.418419,7.005204e-03,3.035754e-03
24,24.480000,-9.482500,1.565196e-02,-3.190056e-03
25,-0.789073,-7.704284,3.222098e-03,-4.575101e-02
26,-11.047968,-5.491609,-6.285427e-03,-3.986343e-02
27,28.618984,-8.229196,1.338376e-02,4.502027e-04
28,-31.379735,-5.551581,-2.410570e-03,1.779835e-03
29,16.721875,-7.408125,1.821490e-02,-1.798962e-02
30,12.510662,-8.640203,1.648074e-02,-2.566904e-02
31,-3.126484,-6.038304,2.969744e-04,-5.205810e-02
32,-19.028984,-4.940804,-7.852973e-03,-1.652857e-02
33,-15.419206,-6.674743,-8.404818e-03,-2.463648e-02
34,24.658242,-7.955848,1.544512e-02,-3.135901e-03
35,-11.429073,-6.955534,-6.834980e-03,-3.430352e-02
36,-23.019492,-4.665402,-5.555842e-03,-7.463799e-03
37,-27.389603,-5.832372,-4.156365e-03,-1.564087e-03
38,-33.185000,-3.680000,-1.047726e-03,2.726586e-03
39,0.834258,-6.311652,5.329426e-03,-5.201606e-02
40,-7.087226,-5.764956,-3.371447e-03,-4.752207e-02
41,15.835596,-8.874183,1.760743e-02,-1.787670e-02
42,-4.114007,-7.470304,-6.583970e-04,-4.508033e-02
43,-19.409338,-6.393953,-7.962327e-03,-1.463613e-02
44,-15.038476,-5.216206,-8.489219e-03,-2.850652e-02
45,-20.211928,-0.172630,-4.569231e-03,-1.482846e-02
46,-35.369868,-5.270791,-1.101228e-03,3.330511e-03
47,-30.097500,-3.985000,-1.780045e-03,1.130994e-03
48,-29.000312,-4.093386,-2.109975e-03,2.825930e-04
49,-28.005156,-4.191693,-2.481684e-03,-6.658868e-04
50,-27.507578,-4.240847,-2.717696e-03,-1.211672e-03
51,-27.258789,-4.265423,-2.854533e-03,-1.520280e-03
52,-27.134395,-4.277712,-2.925940e-03,-1.661071e-03
53,-27.218376,-4.492085,-3.162239e-03,-1.612055e-03
54,-25.014746,-4.527701,-4.457703e-03,-4.404693e-03
55,-29.384669,-5.691976,-3.217975e-03,3.923823e-04
56,-23.610964,-2.281315,-5.134934e-03,-6.485255e-03
57,-26.012373,-4.458851,-3.875400e-03,-3.109905e-03
58,-27.365600,-4.910844,-3.488426e-03,-1.504829e-03
59,-25.310482,-3.335657,-4.265856e-03,-3.991598e-03
60,-26.933220,-4.810435,-3.624344e-03,-2.027662e-03
61,-27.799485,-4.652746,-3.047685e-03,-9.568808e-04
62,-26.511187,-4.424425,-3.563140e-03,-2.500750e-03
63,-26.160241,-3.862829,-3.774755e-03,-2.904933e-03
64,-25.394537,-5.972767,-5.162191e-03,-3.926429e-03
65,-26.585120,-4.126414,-3.520353e-03,-2.385288e-03
66,-26.392070,-5.902569,-4.651955e-03,-2.722126e-03
67,-27.028640,-5.380697,-4.013853e-03,-1.951715e-03
68,-26.305364,-5.073170,-4.147599e-03,-2.799414e-03
69,-28.559314,-4.715299,-2.805198e-03,-1.966845e-04
70,-28.387136,-5.762174,-3.671542e-03,-5.171999e-04
71,-27.897461,-5.311199,-3.557300e-03,-9.555755e-04
72,-25.552346,-5.055283,-4.521931e-03,-3.730216e-03
73,-29.398602,-4.843125,-2.608493e-03,5.204192e-04
74,-24.397003,-6.042965,-5.650302e-03,-5.228723e-03
75,-30.382202,-5.621779,-2.808806e-03,1.138457e-03
76,-24.772323,-5.312422,-5.075036e-03,-4.764247e-03
77,-24.017119,-4.596552,-5.025562e-03,-5.880385e-03
78,-22.482461,-7.327630,-7.481344e-03,-8.075971e-03
79,-31.641250,-3.832500,-1.449952e-03,2.036378e-03
80,-31.005410,-7.355031,-3.529837e-03,1.327550e-03
81,-24.972840,-7.103058,-6.180498e-03,-4.401528e-03
82,-28.012810,-7.565624,-5.048477e-03,-1.036888e-03
83,-29.960506,-6.752070,-3.650532e-03,6.966341e-04
84,-23.440559,-3.504452,-5.463085e-03,-6.854792e-03
85,-25.955815,-6.825983,-5.522237e-03,-3.258475e-03
86,-30.818761,-4.702693,-2.097726e-03,1.535595e-03
87,-28.948414,-6.615390,-4.003891e-03,-8.740079e-05
88,-26.951653,-6.731695,-4.991570e-03,-2.115409e-03
89,-28.078835,-9.994438,-6.289363e-03,-9.956523e-04
90,-29.291680,-7.889087,-4.632766e-03,8.914433e-05
91,-26.547258,-7.766620,-5.858659e-03,-2.594711e-03
92,-23.960749,-6.966378,-6.522214e-03,-5.764647e-03
93,-21.024238,-4.803103,-6.714988e-03,-1.152343e-02
94,-21.911446,-1.226972,-5.199011e-03,-9.850535e-03
95,-22.356853,-2.730034,-6.241290e-03,-8.935103e-03
96,41.769868,-10.699209,3.592438e-03,3.385496e-03
97,41.180000,-9.105000,4.224044e-03,3.900122e-03
98,-17.414272,-6.534348,-8.472148e-03,-1.956024e-02
99,-17.033730,-5.078505,-8.431419e-03,-2.250131e-02
100,14.734063,-7.270937,1.797180e-02,-2.322437e-02
101,14.173129,-8.757193,1.723447e-02,-2.176050e-02
102,-9.434007,-7.095929,-5.443853e-03,-3.823701e-02
103,-9.067597,-5.628282,-4.940800e-03,-4.401280e-02
104,21.820265,-9.295331,1.674839e-02,-6.498579e-03
105,22.677871,-7.819174,1.639994e-02,-5.765934e-03
106,8.770625,-6.859375,1.418780e-02,-3.923280e-02
107,9.185728,-8.406223,1.433880e-02,-3.319528e-02
108,26.638613,-8.092522,1.443331e-02,-1.098829e-03
109,27.139735,-9.669669,1.426862e-02,-6.918463e-04
110,-13.424139,-6.815139,-7.871282e-03,-2.977204e-02
111,-13.043222,-5.353907,-7.650458e-03,-3.462840e-02
112,-21.404404,-6.253558,-7.159911e-03,-1.028783e-02
113,-5.106855,-5.901630,-1.525188e-03,-5.023791e-02
114,-5.776474,-7.353314,-2.366946e-03,-4.347765e-02
115,-16.538325,-8.332334,-9.190800e-03,-1.958996e-02
116,43.764934,-10.839605,1.809401e-03,3.388290e-03
117,43.470000,-9.267500,2.206479e-03,3.967338e-03
118,13.134505,-11.645793,1.748182e-02,-1.903498e-02
119,10.758438,-6.996563,1.605074e-02,-3.416715e-02
120,10.848195,-8.523213,1.556318e-02,-2.962480e-02
121,7.523261,-8.289233,1.279063e-02,-3.655319e-02
122,-19.926610,-2.632671,-8.429089e-03,-1.517775e-02
123,-24.224498,-8.828877,-7.582800e-03,-5.085795e-03
124,14.875919,-10.640912,1.777948e-02,-1.752163e-02
125,9.809571,-11.411813,1.534796e-02,-2.499325e-02
126,11.550985,-10.406932,1.640545e-02,-2.420115e-02
127,6.782813,-6.722188,1.243010e-02,-4.344824e-02
128,-5.073684,-9.237033,-1.796464e-03,-3.835214e-02
129,8.226052,-10.172952,1.386104e-02,-3.026311e-02
130,6.587847,-9.711184,1.213622e-02,-3.399083e-02
131,-36.272500,-3.375000,-4.216941e-04,3.724083e-03
132,-37.364934,-5.130395,-4.952988e-04,3.733988e-03
133,2.535861,-7.938264,7.354067e-03,-4.379031e-02
134,-33.481570,-6.928412,-2.258981e-03,2.481145e-03
135,39.774801,-10.558814,5.317191e-03,3.272236e-03
136,21.806049,-6.035785,1.839302e-02,-8.033582e-03
137,-7.035000,4.070000,7.103119e-03,-1.130637e-01
138,23.786440,-6.172168,1.701157e-02,-4.748429e-03
139,27.772311,-6.081406,1.451112e-02,-4.316640e-05
140,-31.095278,-10.660029,-4.763670e-03,9.089458e-04
141,-10.553990,-8.765793,-6.850552e-03,-3.180936e-02
142,10.007727,-3.404126,1.973882e-02,-5.655935e-02
143,-18.080000,-22.500000,-1.117975e-02,-3.924315e-15
144,6.588362,-12.846153,1.266281e-02,-2.517256e-02
145,4.064129,-9.962269,9.448415e-03,-3.599701e-02
146,40.647929,-16.167803,4.469555e-03,1.735555e-03
147,19.435000,0.160000,1.630197e-02,-1.571827e-02
148,-11.801489,-1.885723,-8.362731e-03,-5.766851e-02
149,-9.907728,-3.385694,-6.664160e-03,-5.500795e-02
150,-5.946986,-3.659042,-2.801185e-03,-6.450406e-02
151,13.859010,-5.480178,2.126435e-02,-3.195568e-02
152,25.768994,-6.277205,1.568072e-02,-1.991290e-03
153,-8.544400,-8.699798,-5.249993e-03,-3.553390e-02
154,-7.440000,-22.500000,-4.336516e-03,-5.687067e-15
155,6.032102,-3.129751,1.470898e-02,-6.916405e-02
156,-6.711888,-8.775265,-3.532114e-03,-3.798111e-02
157,11.874511,-5.294987,1.986973e-02,-3.983656e-02
158,-3.994960,-4.206424,-4.889773e-04,-6.423645e-02
159,-18.533806,-8.197826,-9.205486e-03,-1.544414e-02
160,7.927337,-4.608360,1.607665e-02,-5.459408e-02
161,32.609492,-8.504598,1.110377e-02,2.377529e-03
162,33.789603,-10.137628,1.007413e-02,2.384700e-03
163,33.185476,-6.696488,1.171668e-02,2.805846e-03
164,-14.575813,-8.935326,-9.142544e-03,-2.316209e-02
165,-17.904738,-3.174980,-9.671406e-03,-2.289923e-02
166,24.480000,-22.500000,1.688062e-02,-1.706925e-15
167,17.367243,-10.850174,1.814530e-02,-1.272163e-02
168,-12.675488,-10.422038,-8.771502e-03,-2.412680e-02
169,-2.582360,-9.446296,1.113817e-03,-3.945485e-02
170,-39.360000,-13.745000,-1.702630e-15,2.236946e-03
171,38.890000,-8.942500,6.182314e-03,3.709032e-03
